algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.025750,9512,8
QuickSort,random,1000,0.052291,17246,6
QuickSelect,random,1000,0.012000,4696,12
MergeSort,random,10000,0.552958,126962,11
QuickSort,random,10000,0.594125,245199,8
QuickSelect,random,10000,0.093750,51097,16
MergeSort,random,100000,7.005625,1641237,14
QuickSort,random,100000,7.135209,3148948,11
QuickSelect,random,100000,1.123667,746462,22
MergeSort,random,1000000,86.886875,19885076,18
QuickSort,random,1000000,83.666750,39441841,13
QuickSelect,random,1000000,8.296083,4020065,25
MergeSort,sorted,1000,0.012083,4236,8
QuickSort,sorted,1000,0.029375,17121,6
QuickSelect,sorted,1000,0.003958,3797,11
MergeSort,sorted,10000,0.176750,59248,11
QuickSort,sorted,10000,0.333750,241908,8
QuickSelect,sorted,10000,0.037209,55275,18
MergeSort,sorted,100000,2.218334,744016,14
QuickSort,sorted,100000,3.716166,3197160,11
QuickSelect,sorted,100000,0.311166,514608,20
MergeSort,sorted,1000000,27.044000,9071040,18
QuickSort,sorted,1000000,40.235250,38032842,13
QuickSelect,sorted,1000000,2.646833,3758407,28
MergeSort,duplicates,1000,0.024334,9182,8
QuickSort,duplicates,1000,0.013250,6209,2
QuickSelect,duplicates,1000,0.010250,4376,5
MergeSort,duplicates,10000,0.361166,121738,11
QuickSort,duplicates,10000,0.103542,57836,2
QuickSelect,duplicates,10000,0.079708,32898,4
MergeSort,duplicates,100000,3.966084,1562998,14
QuickSort,duplicates,100000,1.042583,550522,2
QuickSelect,duplicates,100000,0.450458,150026,1
MergeSort,duplicates,1000000,44.985625,18923998,18
QuickSort,duplicates,1000000,10.588458,5399639,2
QuickSelect,duplicates,1000000,7.246875,3901285,4
